country_name,alpha_3,iso_n3,count
Afghanistan,AFG,4,0
Åland Islands,ALA,248,0
Albania,ALB,8,0
Algeria,DZA,12,65
American Samoa,ASM,16,0
Andorra,AND,20,0
Angola,AGO,24,8
Anguilla,AIA,660,0
Antarctica,ATA,10,0
Antigua and Barbuda,ATG,28,0
Argentina,ARG,32,51
Armenia,ARM,51,0
Aruba,ABW,533,0
Australia,AUS,36,1100
Austria,AUT,40,256
Azerbaijan,AZE,31,28
Bahamas,BHS,44,5
Bahrain,BHR,48,0
Bangladesh,BGD,50,0
Barbados,BRB,52,0
Belarus,BLR,112,100
Belgium,BEL,56,222
Belize,BLZ,84,0
Benin,BEN,204,0
Bermuda,BMU,60,0
Bhutan,BTN,64,0
"Bolivia, Plurinational State of",BOL,68,0
"Bonaire, Sint Eustatius and Saba",BES,535,0
Bosnia and Herzegovina,BIH,70,59
Botswana,BWA,72,1
Bouvet Island,BVT,74,0
Brazil,BRA,76,326
British Indian Ocean Territory,IOT,86,0
Brunei Darussalam,BRN,96,10
Bulgaria,BGR,100,15
Burkina Faso,BFA,854,0
Burundi,BDI,108,0
Cabo Verde,CPV,132,1
Cambodia,KHM,116,0
Cameroon,CMR,120,0
Canada,CAN,124,1030
Cayman Islands,CYM,136,0
Central African Republic,CAF,140,0
Chad,TCD,148,0
Chile,CHL,152,1
China,CHN,156,1319
Christmas Island,CXR,162,0
Cocos (Keeling) Islands,CCK,166,0
Colombia,COL,170,23
Comoros,COM,174,0
Congo,COG,178,0
"Congo, Democratic Republic of the",COD,180,0
Cook Islands,COK,184,0
Costa Rica,CRI,188,0
Côte d'Ivoire,CIV,384,5
Croatia,HRV,191,23
Cuba,CUB,192,76
Curaçao,CUW,531,0
Cyprus,CYP,196,6
Czechia,CZE,203,143
Denmark,DNK,208,268
Djibouti,DJI,262,0
Dominica,DMA,212,0
Dominican Republic,DOM,214,1
Ecuador,ECU,218,0
Egypt,EGY,818,187
El Salvador,SLV,222,0
Equatorial Guinea,GNQ,226,0
Eritrea,ERI,232,0
Estonia,EST,233,19
Eswatini,SWZ,748,0
Ethiopia,ETH,231,2
Falkland Islands (Malvinas),FLK,238,0
Faroe Islands,FRO,234,13
Fiji,FJI,242,1
Finland,FIN,246,242
France,FRA,250,1178
French Guiana,GUF,254,0
French Polynesia,PYF,258,0
French Southern Territories,ATF,260,0
Gabon,GAB,266,0
Gambia,GMB,270,0
Georgia,GEO,268,0
Germany,DEU,276,1567
Ghana,GHA,288,0
Gibraltar,GIB,292,0
Greece,GRC,300,89
Greenland,GRL,304,0
Grenada,GRD,308,0
Guadeloupe,GLP,312,0
Guam,GUM,316,0
Guatemala,GTM,320,0
Guernsey,GGY,831,0
Guinea,GIN,324,0
Guinea-Bissau,GNB,624,0
Guyana,GUY,328,0
Haiti,HTI,332,0
Heard Island and McDonald Islands,HMD,334,0
Holy See,VAT,336,0
Honduras,HND,340,0
Hong Kong,HKG,344,198
Hungary,HUN,348,175
Iceland,ISL,352,63
India,IND,356,11
Indonesia,IDN,360,0
"Iran, Islamic Republic of",IRN,364,211
Iraq,IRQ,368,13
Ireland,IRL,372,168
Isle of Man,IMN,833,0
Israel,ISR,376,205
Italy,ITA,380,373
Jamaica,JAM,388,38
Japan,JPN,392,342
Jersey,JEY,832,0
Jordan,JOR,400,25
Kazakhstan,KAZ,398,2
Kenya,KEN,404,46
Kiribati,KIR,296,0
"Korea, Democratic People's Republic of",PRK,408,0
"Korea, Republic of",KOR,410,447
Kuwait,KWT,414,48
Kyrgyzstan,KGZ,417,0
Lao People's Democratic Republic,LAO,418,1
Latvia,LVA,428,15
Lebanon,LBN,422,0
Lesotho,LSO,426,0
Liberia,LBR,430,0
Libya,LBY,434,0
Liechtenstein,LIE,438,0
Lithuania,LTU,440,28
Luxembourg,LUX,442,6
Macao,MAC,446,0
Madagascar,MDG,450,0
Malawi,MWI,454,0
Malaysia,MYS,458,8
Maldives,MDV,462,0
Mali,MLI,466,0
Malta,MLT,470,0
Marshall Islands,MHL,584,0
Martinique,MTQ,474,0
Mauritania,MRT,478,0
Mauritius,MUS,480,0
Mayotte,MYT,175,0
Mexico,MEX,484,259
"Micronesia, Federated States of",FSM,583,0
"Moldova, Republic of",MDA,498,3
Monaco,MCO,492,0
Mongolia,MNG,496,2
Montenegro,MNE,499,0
Montserrat,MSR,500,0
Morocco,MAR,504,27
Mozambique,MOZ,508,1
Myanmar,MMR,104,4
Namibia,NAM,516,8
Nauru,NRU,520,0
Nepal,NPL,524,0
"Netherlands, Kingdom of the",NLD,528,665
New Caledonia,NCL,540,0
New Zealand,NZL,554,158
Nicaragua,NIC,558,0
Niger,NER,562,0
Nigeria,NGA,566,78
Niue,NIU,570,0
Norfolk Island,NFK,574,0
North Macedonia,MKD,807,0
Northern Mariana Islands,MNP,580,0
Norway,NOR,578,257
Oman,OMN,512,0
Pakistan,PAK,586,2
Palau,PLW,585,0
"Palestine, State of",PSE,275,3
Panama,PAN,591,8
Papua New Guinea,PNG,598,1
Paraguay,PRY,600,0
Peru,PER,604,5
Philippines,PHL,608,3
Pitcairn,PCN,612,0
Poland,POL,616,729
Portugal,PRT,620,69
Puerto Rico,PRI,630,5
Qatar,QAT,634,2
Réunion,REU,638,0
Romania,ROU,642,0
Russian Federation,RUS,643,320
Rwanda,RWA,646,1
Saint Barthélemy,BLM,652,0
"Saint Helena, Ascension and Tristan da Cunha",SHN,654,0
Saint Kitts and Nevis,KNA,659,0
Saint Lucia,LCA,662,0
Saint Martin (French part),MAF,663,0
Saint Pierre and Miquelon,SPM,666,0
Saint Vincent and the Grenadines,VCT,670,0
Samoa,WSM,882,0
San Marino,SMR,674,0
Sao Tome and Principe,STP,678,0
Saudi Arabia,SAU,682,4
Senegal,SEN,686,0
Serbia,SRB,688,115
Seychelles,SYC,690,0
Sierra Leone,SLE,694,0
Singapore,SGP,702,5
Sint Maarten (Dutch part),SXM,534,0
Slovakia,SVK,703,122
Slovenia,SVN,705,17
Solomon Islands,SLB,90,0
Somalia,SOM,706,0
South Africa,ZAF,710,172
South Georgia and the South Sandwich Islands,SGS,239,0
South Sudan,SSD,728,0
Spain,ESP,724,668
Sri Lanka,LKA,144,2
Sudan,SDN,729,1
Suriname,SUR,740,0
Svalbard and Jan Mayen,SJM,744,0
Sweden,SWE,752,538
Switzerland,CHE,756,262
Syrian Arab Republic,SYR,760,1
"Taiwan, Province of China",TWN,158,47
Tajikistan,TJK,762,0
"Tanzania, United Republic of",TZA,834,0
Thailand,THA,764,89
Timor-Leste,TLS,626,0
Togo,TGO,768,0
Tokelau,TKL,772,0
Tonga,TON,776,0
Trinidad and Tobago,TTO,780,6
Tunisia,TUN,788,98
Türkiye,TUR,792,27
Turkmenistan,TKM,795,0
Turks and Caicos Islands,TCA,796,0
Tuvalu,TUV,798,0
Uganda,UGA,800,1
Ukraine,UKR,804,389
United Arab Emirates,ARE,784,0
United Kingdom of Great Britain and Northern Ireland,GBR,826,1424
United States of America,USA,840,1901
United States Minor Outlying Islands,UMI,581,0
Uruguay,URY,858,1
Uzbekistan,UZB,860,23
Vanuatu,VUT,548,0
"Venezuela, Bolivarian Republic of",VEN,862,19
Viet Nam,VNM,704,4
Virgin Islands (British),VGB,92,0
Virgin Islands (U.S.),VIR,850,0
Wallis and Futuna,WLF,876,0
Western Sahara,ESH,732,0
Yemen,YEM,887,0
Zambia,ZMB,894,0
Zimbabwe,ZWE,716,15
