gender,event,medal,athlete,alpha_3,country,grp_id,type,year,guide,country_name,iso_n3,athlete_country
Men,Double FITA Round Amputee,Gold,LARSEN Finn,DNK,,,Archery,1980,,Denmark,208,LARSEN Finn - DNK
Men,Double FITA Round Amputee,Silver,BRENNE Manfred,DEU,,,Archery,1980,,Germany,276,BRENNE Manfred - DEU
Men,Double FITA Round Amputee,Bronze,SATO Masao,JPN,,,Archery,1980,,Japan,392,SATO Masao - JPN
Men,Double FITA Round Paraplegic,Gold,GEISS H.,DEU,,,Archery,1980,,Germany,276,GEISS H. - DEU
Men,Double FITA Round Paraplegic,Silver,GRUN Guy,BEL,,,Archery,1980,,Belgium,56,GRUN Guy - BEL
Men,Double FITA Round Paraplegic,Bronze,BUCHANAN J.,GBR,,,Archery,1980,,United Kingdom of Great Britain and Northern Ireland,826,BUCHANAN J. - GBR
Men,Double FITA Round Tetraplegic,Gold,PARKER T.,CAN,,,Archery,1980,,Canada,124,PARKER T. - CAN
Men,Double FITA Round Tetraplegic,Silver,STEBEKK Oddbjorn,NOR,,,Archery,1980,,Norway,578,STEBEKK Oddbjorn - NOR
Men,Double FITA Round Tetraplegic,Bronze,LAFONT G.,FRA,,,Archery,1980,,France,250,LAFONT G. - FRA
Men,Double FITA Round Novice Paraplegic,Gold,CHAVEZ Alfredo,MEX,,,Archery,1980,,Mexico,484,CHAVEZ Alfredo - MEX
Men,Double FITA Round Novice Paraplegic,Silver,WALSTRA Jappie,NLD,,,Archery,1980,,"Netherlands, Kingdom of the",528,WALSTRA Jappie - NLD
Men,Double FITA Round Novice Paraplegic,Bronze,VAN DER LIEFVOORT H.,NLD,,,Archery,1980,,"Netherlands, Kingdom of the",528,VAN DER LIEFVOORT H. - NLD
Men,Double FITA Round Novice Tetraplegic,Gold,KARKAINEN K.,FIN,,,Archery,1980,,Finland,246,KARKAINEN K. - FIN
Men,Double FITA Round Novice Tetraplegic,Silver,KISHINO Tadashi,JPN,,,Archery,1980,,Japan,392,KISHINO Tadashi - JPN
Men,Double FITA Round Novice Tetraplegic,Bronze,ANDERSSON-TANNERSTAD Kent,SWE,,,Archery,1980,,Sweden,752,ANDERSSON-TANNERSTAD Kent - SWE
Men,Short Metric Round Paraplegic,Gold,CHAPUIS J. M.,FRA,,,Archery,1980,,France,250,CHAPUIS J. M. - FRA
Men,Short Metric Round Paraplegic,Silver,ZEISE L.,USA,,,Archery,1980,,United States of America,840,ZEISE L. - USA
Men,Short Metric Round Paraplegic,Bronze,THION J.,FRA,,,Archery,1980,,France,250,THION J. - FRA
Men,Short Metric Round Tetraplegic,Gold,HENKER Siegmar,DEU,,,Archery,1980,,Germany,276,HENKER Siegmar - DEU
Men,Short Metric Round Tetraplegic,Silver,TREWHELLA Ian,AUS,,,Archery,1980,,Australia,36,TREWHELLA Ian - AUS
Men,Short Metric Round Tetraplegic,Bronze,KRISTIANSEN Svein,NOR,,,Archery,1980,,Norway,578,KRISTIANSEN Svein - NOR
Men,Advanced Metric Round Paraplegic,Gold,KIM Yoon Bae,KOR,,,Archery,1980,,"Korea, Republic of",410,KIM Yoon Bae - KOR
Men,Advanced Metric Round Paraplegic,Silver,PETSCHNIG M.,AUT,,,Archery,1980,,Austria,40,PETSCHNIG M. - AUT
Men,Advanced Metric Round Paraplegic,Bronze,LETTNER Felix,AUT,,,Archery,1980,,Austria,40,LETTNER Felix - AUT
Women,Double FITA Round Amputee,Gold,ROSVIK Marie,NOR,,,Archery,1980,,Norway,578,ROSVIK Marie - NOR
Women,Double FITA Round Amputee,Silver,KWIECINSKA Ewa,POL,,,Archery,1980,,Poland,616,KWIECINSKA Ewa - POL
Women,Double FITA Round Amputee,Bronze,HYBOIS Marie-Francoise,FRA,,,Archery,1980,,France,250,HYBOIS Marie-Francoise - FRA
Women,Double FITA Round Paraplegic,Gold,FAIRHALL Neroli,NZL,,,Archery,1980,,New Zealand,554,FAIRHALL Neroli - NZL
Women,Double FITA Round Paraplegic,Silver,KORVA Elli,FIN,,,Archery,1980,,Finland,246,KORVA Elli - FIN
Women,Double FITA Round Paraplegic,Bronze,DERSEN Anneliese,DEU,,,Archery,1980,,Germany,276,DERSEN Anneliese - DEU
Women,Double FITA Round Novice Paraplegic,Gold,OHMAE Chiyoko,JPN,,,Archery,1980,,Japan,392,OHMAE Chiyoko - JPN
Women,Short Metric Round Paraplegic,Gold,SCHWEIZER Rosa,AUT,,,Archery,1980,,Austria,40,SCHWEIZER Rosa - AUT
Women,Short Metric Round Paraplegic,Silver,WILLIAMSON Valerie,GBR,,,Archery,1980,,United Kingdom of Great Britain and Northern Ireland,826,WILLIAMSON Valerie - GBR
Women,Advanced Metric Round Paraplegic,Gold,UNSICKER K.,USA,,,Archery,1980,,United States of America,840,UNSICKER K. - USA
Women,Advanced Metric Round Paraplegic,Silver,RIMMER Eve M.,NZL,,,Archery,1980,,New Zealand,554,RIMMER Eve M. - NZL
Women,Advanced Metric Round Paraplegic,Bronze,MATTHEWS G.,GBR,,,Archery,1980,,United Kingdom of Great Britain and Northern Ireland,826,MATTHEWS G. - GBR
Men,Double FITA Round Team Amputee,Gold,BRENNE Manfred,DEU,FR Germany,1.0,Archery,1980,,Germany,276,BRENNE Manfred - DEU
Men,Double FITA Round Team Amputee,Gold,BUTENHOFF Hilmar,DEU,FR Germany,2.0,Archery,1980,,Germany,276,BUTENHOFF Hilmar - DEU
